ID,TYPE_OF_STOP,CITATION_CONTROL_NUMBER,ACTIVITY RESULTS,OFFICER_GENDER,OFFICER_RACE,OFFICER_AGE_RANGE,ACTIVITY_DATE ,ACTIVITY_TIME,ACTIVITY_LOCATION,ACTIVITY_DIVISION,ACTIVITY_BEAT,DRIVER_GENDER,DRIVER_RACE,DRIVER_AGE_RANGE,NUMBER OF PASSENGERS,WAS_VEHCILE_SEARCHED,REASON_FOR_SEARCH
13891,TRAFFIC VIOLATION,,WARNING,M,WHITE,31 - 40,9/27/2025,17:34:00,CLAY/ MADISON,1ST DIVISION,BEAT 5,F,WHITE,26 - 30,0,NO,
1189,COMPLAINT/CRIMINAL VIOLATION,N393240,CITATION ISSUED,M,WHITE,40 - 50,1/28/2018,3:00:00,BROADRUN PARK,7TH DIVISION,BEAT 2,M,HISPANIC,16 - 19,3,YES,CONSENT
18459,TRAFFIC VIOLATION,0,WARNING,F,BLACK,31 - 40,1/28/2018,11:21:00,S SHELBY AND LYNN ST,4TH DIVISION,BEAT 2,M,WHITE,31 - 40,0,NO,
18568,TRAFFIC VIOLATION,0,WARNING,F,WHITE,21 - 30,1/28/2018,1:28:00,I265N// LA GRANGE RD,8TH DIVISION,BEAT 4,F,WHITE,31 - 40,1,NO,
18569,TRAFFIC VIOLATION,0,WARNING,F,WHITE,21 - 30,1/28/2018,22:57:00,SHEBLYVILLR RD// OLD SHELBYVILLE RD,8TH DIVISION,BEAT 4,F,WHITE,20 - 25,1,NO,
19056,TRAFFIC VIOLATION,0,WARNING,F,WHITE,31 - 40,1/28/2018,1:46:00,BARRET AVE / CHRISTY AVE,5TH DIVISION,BEAT 2,M,BLACK,41 - 50,0,NO,
19777,TRAFFIC VIOLATION,0,WARNING,M,BLACK,21 - 30,1/28/2018,0:20:00,CANE RUN AND CRUMS LN,2ND DIVISION,BEAT 6,M,BLACK,41 - 50,2,NO,
19778,TRAFFIC VIOLATION,0,WARNING,M,BLACK,21 - 30,1/28/2018,2:10:00,DIXIE AND VORESTER,2ND DIVISION,BEAT 6,F,BLACK,41 - 50,1,NO,
20835,TRAFFIC VIOLATION,0,WARNING,M,HISPANIC,21 - 30,1/28/2018,11:00:00,HIKES AND BARDSTOWN,6TH DIVISION,BEAT 4,M,BLACK,41 - 50,0,NO,
21519,TRAFFIC VIOLATION,0,WARNING,M,WHITE,21 - 30,1/28/2018,14:49:00,5200 BLK DIXIE,3RD DIVISION,BEAT 1,F,BLACK,20 - 25,1,NO,
21520,TRAFFIC VIOLATION,0,WARNING,M,WHITE,21 - 30,1/28/2018,15:40:00,NATIONAL TPKE AND NEIGHBORHOOD PLACE,3RD DIVISION,BEAT 3,M,WHITE,31 - 40,3,NO,
21521,TRAFFIC VIOLATION,0,WARNING,M,WHITE,21 - 30,1/28/2018,22:35:00,PRESTON/OUTER LOOP,7TH DIVISION,BEAT 6,F,BLACK,20 - 25,1,NO,
24405,TRAFFIC VIOLATION,0,WARNING,M,WHITE,31 - 40,1/28/2018,0:31:00,PRESTON/BLUE LICK,7TH DIVISION,BEAT 6,M,MIDDLE EASTERN DESCENT,26 - 30,0,NO,
24406,TRAFFIC VIOLATION,0,WARNING,M,WHITE,31 - 40,1/28/2018,13:40:00,100 BLK N. 42ND,2ND DIVISION,BEAT 1,M,BLACK,20 - 25,1,NO,
24407,TRAFFIC VIOLATION,0,WARNING,M,WHITE,31 - 40,1/28/2018,15:30:00,1353 S 20TH,2ND DIVISION,BEAT 5,M,BLACK,26 - 30,0,YES,PROBABLE CAUSE
24408,TRAFFIC VIOLATION,0,WARNING,M,WHITE,31 - 40,1/28/2018,17:00:00,DIXIE / ALGONQUIN,2ND DIVISION,BEAT 5,M,WHITE,16 - 19,3,NO,
24409,TRAFFIC VIOLATION,0,WARNING,M,WHITE,31 - 40,1/28/2018,22:21:00,NOLTEMEYER WYNDE/BEECHVIEW,7TH DIVISION,BEAT 6,M,BLACK,41 - 50,0,NO,
28334,TRAFFIC VIOLATION,0,WARNING,M,WHITE,50 - 60,1/28/2018,23:30:00,DIXIE AND BARRETT,3RD DIVISION,BEAT 5,M,BLACK,26 - 30,0,NO,CONSENT
36874,TRAFFIC VIOLATION,N867160,CITATION ISSUED,M,BLACK,31 - 40,1/28/2018,21:36:00,2500 WEST BROADWAY,1ST DIVISION,BEAT 2,F,WHITE,31 - 40,2,YES,PROBABLE CAUSE
37097,TRAFFIC VIOLATION,P180364,WARNING,M,WHITE,21 - 30,1/28/2018,9:30:00,900 B ELLISON AVE,4TH DIVISION,BEAT 2,F,WHITE,31 - 40,0,NO,
18458,TRAFFIC VIOLATION,0,WARNING,F,BLACK,31 - 40,1/27/2018,16:20:00,1060 HIGHLAND AVE,4TH DIVISION,BEAT 2,M,WHITE,31 - 40,0,NO,
19055,TRAFFIC VIOLATION,0,WARNING,F,WHITE,31 - 40,1/27/2018,21:33:00,LEXINGTON RD / FAIRLAWN AVE,5TH DIVISION,BEAT 5,M,WHITE,31 - 40,1,NO,
19774,TRAFFIC VIOLATION,0,WARNING,M,BLACK,21 - 30,1/27/2018,22:36:00,S 36TH AND COLMAR,2ND DIVISION,BEAT 2,M,BLACK,51 - 60,1,NO,
19775,TRAFFIC VIOLATION,0,WARNING,M,BLACK,21 - 30,1/27/2018,23:00:00,15TH AND BRECKENRIDGE,2ND DIVISION,BEAT 6,F,BLACK,20 - 25,2,NO,
19776,TRAFFIC VIOLATION,0,WARNING,M,BLACK,21 - 30,1/27/2018,23:40:00,MARKET AND 39TH,2ND DIVISION,BEAT 1,F,BLACK,20 - 25,0,NO,
20833,TRAFFIC VIOLATION,0,WARNING,M,HISPANIC,21 - 30,1/27/2018,9:25:00,11TH / BROADWAY,1ST DIVISION,BEAT 3,M,BLACK,20 - 25,0,NO,
20834,TRAFFIC VIOLATION,0,WARNING,M,HISPANIC,21 - 30,1/27/2018,10:20:00,11TH / MAIN ST,1ST DIVISION,BEAT 3,M,WHITE,26 - 30,0,NO,
21508,TRAFFIC VIOLATION,0,WARNING,M,WHITE,21 - 30,1/27/2018,3:46:00,EASTERN PARKWAY/BAXTER AVE,5TH DIVISION,BEAT 2,M,WHITE,20 - 25,1,YES,CONSENT
21509,TRAFFIC VIOLATION,0,WARNING,M,WHITE,21 - 30,1/27/2018,9:27:00,BECKLEY WOODS/ BECKLEY VILLAGE,8TH DIVISION,BEAT 4,M,WHITE,26 - 30,0,NO,
21510,TRAFFIC VIOLATION,0,WARNING,M,WHITE,21 - 30,1/27/2018,10:35:00,26TH/ ALI,1ST DIVISION,BEAT 2,F,BLACK,41 - 50,0,NO,
21511,TRAFFIC VIOLATION,0,WARNING,M,WHITE,21 - 30,1/27/2018,11:08:00,BARRET AND RUBEL,5TH DIVISION,BEAT 2,M,WHITE,20 - 25,0,NO,
21512,TRAFFIC VIOLATION,0,WARNING,M,WHITE,21 - 30,1/27/2018,21:28:00,MARKET AND FLOYD,1ST DIVISION,BEAT 4,F,WHITE,16 - 19,3,NO,
21513,TRAFFIC VIOLATION,0,WARNING,M,WHITE,21 - 30,1/27/2018,21:45:00,BERRY/WHEELER,4TH DIVISION,BEAT 3,F,BLACK,20 - 25,2,YES,CONSENT
21514,TRAFFIC VIOLATION,0,WARNING,M,WHITE,21 - 30,1/27/2018,22:52:00,BERRY/POWELL,4TH DIVISION,BEAT 3,M,WHITE,41 - 50,1,NO,
24394,TRAFFIC VIOLATION,0,WARNING,M,WHITE,31 - 40,1/27/2018,0:18:00,DIXIE AND W OAK,2ND DIVISION,BEAT 3,F,BLACK,31 - 40,1,NO,
24395,TRAFFIC VIOLATION,0,WARNING,M,WHITE,31 - 40,1/27/2018,1:31:00,PRESTON CROSSING/COOPER CHAPEL,7TH DIVISION,BEAT 4,F,BLACK,26 - 30,0,NO,
24396,TRAFFIC VIOLATION,0,WARNING,M,WHITE,31 - 40,1/27/2018,3:11:00,BLUE LICK/FOREMAN,7TH DIVISION,BEAT 6,M,BLACK,20 - 25,0,YES,PROBABLE CAUSE
24397,TRAFFIC VIOLATION,0,WARNING,M,WHITE,31 - 40,1/27/2018,3:30:00,OUTER LOOP/ JEFFERSON BLVD,7TH DIVISION,BEAT 5,F,BLACK,20 - 25,1,NO,
24398,TRAFFIC VIOLATION,0,WARNING,M,WHITE,31 - 40,1/27/2018,23:07:00,3030 TAYLOR BLVD,4TH DIVISION,BEAT 4,M,WHITE,20 - 25,1,NO,
26926,TRAFFIC VIOLATION,0,WARNING,M,WHITE,40 - 50,1/27/2018,19:01:00,9900 BUCKINGHAM DRIVE,3RD DIVISION,BEAT 3,M,WHITE,31 - 40,0,YES,PROBABLE CAUSE
28330,TRAFFIC VIOLATION,0,WARNING,M,WHITE,50 - 60,1/27/2018,0:45:00,DEERING RD AND SENNRIDGE,3RD DIVISION,BEAT 4,M,BLACK,41 - 50,1,NO,
36889,TRAFFIC VIOLATION,N870205,CITATION ISSUED,M,WHITE,21 - 30,1/27/2018,3:41:00,DR WJ HODGE/CHESTNUT,1ST DIVISION,BEAT 2,M,BLACK,26 - 30,0,NO,
36893,TRAFFIC VIOLATION,N870908,CITATION ISSUED,F,WHITE,31 - 40,1/27/2018,9:03:00,2815 FERN VALLEY RD,7TH DIVISION,BEAT 6,M,BLACK,26 - 30,0,YES,PROBABLE CAUSE
36941,TRAFFIC VIOLATION,NA,WARNING,M,WHITE,21 - 30,1/27/2018,22:33:00,E MARKET ST @ S FLOYD ST,1ST DIVISION,BEAT 4,F,WHITE,16 - 19,0,NO,
44154,TRAFFIC VIOLATION,CT53091     ,CITATION ISSUED,M,WHITE,40 - 50,1/27/2018,0:22:00,I 0065 N 130                                                ,4TH DIVISION,BEAT 4,M,WHITE,31 - 40,0,NO,
49817,TRAFFIC VIOLATION,CM56563     ,CITATION ISSUED,M,BLACK,31 - 40,1/27/2018,9:29:00,BROWNSBORO RD                                               ,5TH DIVISION,BEAT 5,M,WHITE,41 - 50,1,NO,
53540,TRAFFIC VIOLATION,CT53092     ,CITATION ISSUED,M,WHITE,40 - 50,1/27/2018,0:30:00,I 0065 N 131                                                ,4TH DIVISION,BEAT 4,M,WHITE,26 - 30,0,NO,
55605,TRAFFIC VIOLATION,CT73476     ,CITATION ISSUED,M,WHITE,40 - 50,1/27/2018,0:47:00,SHELBYVILLE RD 4000 BLK                                     , , ,M,HISPANIC,41 - 50,0,NO,
56528,TRAFFIC VIOLATION,CT73475     ,CITATION ISSUED,M,WHITE,40 - 50,1/27/2018,0:36:00,SHELBYVILLE RD/ST MATTHEWS AVE                              , , ,M,WHITE,41 - 50,0,NO,
